# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-18T08:08:25Z    17.3408235701
2016-05-18T08:35:05Z    17.529240262
2016-05-18T09:01:46Z    17.730680719
2016-05-18T09:28:26Z    17.941487022
2016-05-18T09:55:06Z    18.1574822531
2016-05-18T10:28:26Z    18.4278045015
2016-05-18T10:55:06Z    18.6384841528
2016-05-18T11:21:46Z    18.8389901287
2016-05-18T11:48:26Z    19.0246899738
2016-05-18T12:15:06Z    19.1913105754
2016-05-18T12:41:46Z    19.3351049725
2016-05-18T13:08:26Z    19.4529983113
2016-05-18T13:35:07Z    19.5427054079
2016-05-18T14:01:47Z    19.6028138012
2016-05-18T14:28:27Z    19.6328280077
2016-05-18T14:55:07Z    19.6331728212
2016-05-18T15:21:47Z    19.6051557671
2016-05-18T15:48:27Z    19.5508910962
2016-05-18T16:15:07Z    19.4731898207
2016-05-18T16:41:47Z    19.3754221374
2016-05-18T17:08:27Z    19.261360038
2016-05-18T17:35:07Z    19.1350088937
2016-05-18T18:01:47Z    19.0004372644
2016-05-18T18:38:28Z    18.8092297294
2016-05-18T19:05:08Z    18.6705664361
2016-05-18T19:31:48Z    18.5358673561
2016-05-18T19:58:28Z    18.4078272684
2016-05-18T20:25:08Z    18.288599106
2016-05-18T20:51:48Z    18.1797786231
2016-05-18T21:18:28Z    18.0824216887
2016-05-18T21:45:08Z    17.9970906564
2016-05-18T22:11:48Z    17.9239245168
2016-05-18T22:38:28Z    17.8627262186
2016-05-18T23:05:09Z    17.8130597076
2016-05-18T23:31:49Z    17.7743489448
2016-05-18T23:58:29Z    17.7459714127
2016-05-19T00:25:09Z    17.7273393868
2016-05-19T00:51:49Z    17.7179634612
2016-05-19T01:18:29Z    17.7174943869
2016-05-19T01:45:09Z    17.72574109
2016-05-19T02:11:49Z    17.7426646453
2016-05-19T02:38:29Z    17.768349853
2016-05-19T03:05:09Z    17.8029577706
2016-05-19T03:31:49Z    17.8466639733
2016-05-19T03:58:30Z    17.8995883624
2016-05-19T04:25:10Z    17.9617229458
2016-05-19T04:51:50Z    18.0328641335
2016-05-19T05:18:30Z    18.1125557344
2016-05-19T05:45:10Z    18.2000480072
2016-05-19T06:11:50Z    18.2942768899
2016-05-19T06:38:30Z    18.3938659866
2016-05-19T07:05:10Z    18.497152129
2016-05-19T07:48:30Z    18.6679047187
2016-05-19T08:15:10Z    18.7714400532
2016-05-19T08:41:51Z    18.8711841248
2016-05-19T09:08:31Z    18.9650339499
2016-05-19T09:35:11Z    19.0510461364
2016-05-19T10:01:51Z    19.127523245
2016-05-19T10:28:31Z    19.1930859256
2016-05-19T10:55:11Z    19.2467257155
2016-05-19T11:21:51Z    19.2878349342
2016-05-19T11:48:31Z    19.3162119467
2016-05-19T12:15:11Z    19.3320420396
2016-05-19T12:41:51Z    19.3358560482
2016-05-19T13:08:31Z    19.3284705324
2016-05-19T13:35:12Z    19.3109145565
2016-05-19T14:01:52Z    19.284348922
2016-05-19T14:28:32Z    19.2499839855
2016-05-19T14:55:12Z    19.2090019882
2016-05-19T15:21:52Z    19.162489175
2016-05-19T15:48:32Z    19.1113819849
2016-05-19T16:15:12Z    19.0564303487
2016-05-19T16:41:52Z    18.9981797622
2016-05-19T17:08:32Z    18.936972413
2016-05-19T17:35:12Z    18.87296634
2016-05-19T18:01:53Z    18.8061704952
2016-05-19T18:28:33Z    18.7364927071
2016-05-19T18:55:13Z    18.6637969314
2016-05-19T19:21:53Z    18.5879658205
2016-05-19T19:48:33Z    18.508964519
2016-05-19T20:15:13Z    18.4269016584
2016-05-19T20:41:53Z    18.3420837427
2016-05-19T21:08:33Z    18.2550594683
2016-05-19T22:01:53Z    18.0779697189
2016-05-19T22:28:33Z    17.990414893
2016-05-19T22:55:14Z    17.9056539365
2016-05-19T23:21:54Z    17.8255844297
2016-05-19T23:48:34Z    17.7522784187
2016-05-20T00:15:14Z    17.6879107135
2016-05-20T00:41:54Z    17.6346737476
2016-05-20T01:08:34Z    17.5946824558
2016-05-20T01:35:14Z    17.5698734106
2016-05-20T02:01:54Z    17.5619031002
2016-05-20T02:28:34Z    17.5720506607
2016-05-20T02:55:14Z    17.6011305676
2016-05-20T03:21:54Z    17.6494206816
2016-05-20T03:48:35Z    17.7166106171
2016-05-20T04:15:15Z    17.8017746458
2016-05-20T04:41:55Z    17.9033722785
2016-05-20T05:08:35Z    18.0192783205
2016-05-20T05:35:15Z    18.1468426258
2016-05-20T06:01:55Z    18.2829780651
2016-05-20T06:28:35Z    18.4242734785
2016-05-20T07:01:55Z    18.6026549098
2016-05-20T07:28:35Z    18.7423370177
2016-05-20T07:55:15Z    18.8755431312
2016-05-20T08:21:56Z    18.9990822804
2016-05-20T08:48:36Z    19.1101956248
2016-05-20T09:15:16Z    19.2066722574
2016-05-20T09:41:56Z    19.2869377244
2016-05-20T10:08:36Z    19.3501100998
2016-05-20T10:35:16Z    19.3960204391
2016-05-20T11:01:56Z    19.4251966208
2016-05-20T11:28:36Z    19.4388117886
2016-05-20T11:55:16Z    19.438600652
2016-05-20T12:21:56Z    19.4267486777
2016-05-20T12:48:36Z    19.4057605886
2016-05-20T13:15:17Z    19.3783155522
2016-05-20T13:41:57Z    19.3471169628
